100001,102,07/24/2025,DEBIT,3075.00,Salary Credit,USD
100002,103,07/23/2025,CREDIT,3025.00,payment,USD
100003,104,07/22/2025,DEBIT,4368.00,Salary Credit,USD
100004,105,07/21/2025,CREDIT,1382.00,payment,USD
100005,106,07/20/2025,DEBIT,603.00,Salary Credit,INR
100006,107,07/19/2025,CREDIT,394.00,payment,USD
100007,108,07/18/2025,DEBIT,377.00,Salary Credit,USD
100008,109,07/17/2025,CREDIT,3435.00,payment,USD
100009,110,07/16/2025,DEBIT,3755.00,Salary Credit,USD
100010,111,07/15/2025,CREDIT,1764.00,payment,INR
100011,112,07/14/2025,DEBIT,2665.00,Salary Credit,USD
100012,113,07/13/2025,CREDIT,4351.00,payment,USD
100013,114,12/07/2025,DEBIT,879.00,Salary Credit,USD
100014,115,11/07/2025,CREDIT,4698.00,payment,USD
100015,116,07/10/2025,DEBIT,871.00,Salary Credit,USD
100016,117,09/07/2025,CREDIT,4872.00,payment,USD
100017,118,08/07/2025,DEBIT,4658.00,Salary Credit,USD
100018,119,07/07/2025,CREDIT,2191.00,payment,USD
100019,120,06/07/2025,DEBIT,4210.00,Salary Credit,USD
100020,9999,05/07/2025,CREDIT,4834.00,payment,INR
100021,122,07/04/2025,DEBIT,3626.00,Salary Credit,USD
100022,123,03/07/2025,CREDIT,4931.00,payment,USD
100023,124,02/07/2025,DEBIT,2611.00,Salary Credit,USD
100024,125,07/01/2025,CREDIT,3651.00,payment,USD
100025,126,06/30/2025,DEBIT,2258.00,Salary Credit,INR
100026,127,06/29/2025,CREDIT,4560.00,payment,USD
100027,128,06/28/2025,DEBIT,2417.00,Salary Credit,USD
100028,129,06/27/2025,CREDIT,839.00,payment,USD
100029,130,06/26/2025,DEBIT,3673.00,Salary Credit,USD
100030,131,06/25/2025,CREDIT,4991.00,payment,USD
100031,132,06/24/2025,DEBIT,1232.00,Salary Credit,USD
100032,133,06/23/2025,CREDIT,1123.00,payment,USD
100033,134,06/22/2025,DEBIT,4618.00,Salary Credit,USD
100034,135,06/21/2025,CREDIT,4991.00,payment,USD
100035,136,06/20/2025,DEBIT,2207.00,Salary Credit,INR
100036,137,06/19/2025,CREDIT,2337.00,payment,USD
100037,138,06/18/2025,DEBIT,1514.00,Salary Credit,USD
100038,139,06/17/2025,CREDIT,805.00,payment,USD
100039,140,06/16/2025,DEBIT,183.00,Salary Credit,USD
100040,9999,06/15/2025,CREDIT,3223.00,payment,INR
100041,142,06/14/2025,DEBIT,4339.00,Salary Credit,USD
100042,143,06/13/2025,CREDIT,363.00,payment,USD
100043,144,12/06/2025,DEBIT,2849.00,Salary Credit,USD
100044,145,11/06/2025,CREDIT,1551.00,payment,USD
100045,146,06/10/2025,DEBIT,1528.00,Salary Credit,USD
100046,147,09/06/2025,CREDIT,3050.00,payment,USD
100047,148,08/06/2025,DEBIT,1757.00,Salary Credit,USD
100048,149,06/07/2025,CREDIT,4671.00,payment,USD
